checked_at,ww_rows_updated_at,ww_week_end,ed_rows_updated_at,ed_week_end,hosp_final_rows_updated_at,hosp_final_week_end,hosp_prelim_rows_updated_at,hosp_prelim_week_end
2026-04-17T12:27:56.046674+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-10T16:03:30+00:00,2026-04-04,2026-04-10T16:24:28+00:00,2026-04-04,2026-04-15T15:44:50+00:00,2026-04-11
2026-04-17T19:10:46.480673+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-17T16:04:19+00:00,2026-04-11,2026-04-17T12:55:40+00:00,2026-04-11,2026-04-15T15:44:50+00:00,2026-04-11
2026-04-17T20:03:49.751540+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-17T16:04:19+00:00,2026-04-11,2026-04-17T12:55:40+00:00,2026-04-11,2026-04-15T15:44:50+00:00,2026-04-11
2026-04-18T12:38:57.153509+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-17T16:04:19+00:00,2026-04-11,2026-04-17T12:55:40+00:00,2026-04-11,2026-04-15T15:44:50+00:00,2026-04-11
2026-04-18T18:51:19.538560+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-17T16:04:19+00:00,2026-04-11,2026-04-17T12:55:40+00:00,2026-04-11,2026-04-15T15:44:50+00:00,2026-04-11
2026-04-19T00:46:25.639508+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-17T16:04:19+00:00,2026-04-11,2026-04-17T12:55:40+00:00,2026-04-11,2026-04-15T15:44:50+00:00,2026-04-11
2026-04-19T06:41:01.637296+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-17T16:04:19+00:00,2026-04-11,2026-04-17T12:55:40+00:00,2026-04-11,2026-04-15T15:44:50+00:00,2026-04-11
2026-04-19T12:18:29.461858+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-17T16:04:19+00:00,2026-04-11,2026-04-17T12:55:40+00:00,2026-04-11,2026-04-15T15:44:50+00:00,2026-04-11
2026-04-19T18:18:18.065308+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-17T16:04:19+00:00,2026-04-11,2026-04-17T12:55:40+00:00,2026-04-11,2026-04-15T15:44:50+00:00,2026-04-11
2026-04-20T00:45:55.281700+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-17T16:04:19+00:00,2026-04-11,2026-04-17T12:55:40+00:00,2026-04-11,2026-04-15T15:44:50+00:00,2026-04-11
2026-04-20T06:54:15.859444+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-17T16:04:19+00:00,2026-04-11,2026-04-17T12:55:40+00:00,2026-04-11,2026-04-15T15:44:50+00:00,2026-04-11
2026-04-20T12:33:50.426393+00:00,2026-04-09T06:55:02.206753Z,2026-04-04,2026-04-17T16:04:19+00:00,2026-04-11,2026-04-17T12:55:40+00:00,2026-04-11,2026-04-15T15:44:50+00:00,2026-04-11
